start_height,end_height,length_qubic_run,total_orphans_on_run,max_consecutive_orphan_heights,start_ts,end_ts
3478127,3478127,1,1,1,2025-08-15 02:04:18,2025-08-15 02:04:18
3478263,3478263,1,1,1,2025-08-15 06:32:12,2025-08-15 06:32:12
3478385,3478386,2,1,1,2025-08-15 10:15:42,2025-08-15 10:16:22
3478782,3478784,3,1,1,2025-08-16 02:36:42,2025-08-16 02:37:30
3479082,3479084,3,1,1,2025-08-16 12:34:55,2025-08-16 12:42:23
3479208,3479212,5,2,2,2025-08-16 16:16:49,2025-08-16 16:28:57
3479241,3479242,2,1,1,2025-08-16 17:37:22,2025-08-16 17:38:58
3479250,3479252,3,1,1,2025-08-16 17:58:02,2025-08-16 18:02:26
3479406,3479413,8,7,7,2025-08-16 22:58:06,2025-08-16 23:07:58
3479436,3479438,3,1,1,2025-08-17 00:05:35,2025-08-17 00:09:59
3479451,3479452,2,1,1,2025-08-17 00:35:19,2025-08-17 00:35:35
3479613,3479622,10,8,8,2025-08-17 05:51:15,2025-08-17 06:20:59
3479628,3479629,2,1,1,2025-08-17 06:37:23,2025-08-17 06:41:47
3479683,3479683,1,1,1,2025-08-17 08:17:00,2025-08-17 08:17:00
3479902,3479902,1,1,1,2025-08-17 15:01:01,2025-08-17 15:01:01
3480040,3480040,1,1,1,2025-08-17 19:46:52,2025-08-17 19:46:52
3480278,3480279,2,1,1,2025-08-18 04:06:45,2025-08-18 04:07:17
3480526,3480527,2,1,1,2025-08-18 12:29:34,2025-08-18 12:31:26
3480635,3480638,4,1,1,2025-08-18 15:40:16,2025-08-18 15:41:52
3482404,3482404,1,1,1,2025-08-21 03:04:40,2025-08-21 03:04:40
3482747,3482748,2,1,1,2025-08-21 14:49:25,2025-08-21 14:51:25
3482750,3482751,2,1,1,2025-08-21 14:55:41,2025-08-21 14:58:37
3482757,3482758,2,1,1,2025-08-21 15:20:21,2025-08-21 15:25:41
3482768,3482769,2,1,1,2025-08-21 15:40:13,2025-08-21 15:40:37
3482771,3482774,4,3,3,2025-08-21 15:44:13,2025-08-21 15:47:49
3482775,3482776,2,1,1,2025-08-21 15:49:57,2025-08-21 15:51:17
3482785,3482786,2,1,1,2025-08-21 16:06:06,2025-08-21 16:07:02
3482789,3482790,2,1,1,2025-08-21 16:14:14,2025-08-21 16:14:22
3482799,3482800,2,2,2,2025-08-21 16:31:34,2025-08-21 16:31:43
3482809,3482810,2,1,1,2025-08-21 16:42:22,2025-08-21 16:42:38
3482812,3482813,2,1,1,2025-08-21 16:44:54,2025-08-21 16:53:50
3482818,3482819,2,1,1,2025-08-21 17:06:54,2025-08-21 17:07:26
3482833,3482840,8,7,7,2025-08-21 17:41:03,2025-08-21 17:58:15
3482844,3482845,2,1,1,2025-08-21 18:14:07,2025-08-21 18:15:43
3482852,3482853,2,1,1,2025-08-21 18:24:23,2025-08-21 18:27:43
3482864,3482866,3,2,2,2025-08-21 18:52:15,2025-08-21 18:57:11
3482902,3482903,2,1,1,2025-08-21 20:22:24,2025-08-21 20:24:24
3482922,3482923,2,1,1,2025-08-21 20:48:40,2025-08-21 20:50:01
3482933,3482938,6,4,4,2025-08-21 21:08:33,2025-08-21 21:35:29
3482939,3482942,4,1,1,2025-08-21 21:37:05,2025-08-21 21:44:01
3482951,3482952,2,1,1,2025-08-21 21:57:29,2025-08-21 21:58:17
3482971,3482973,3,1,1,2025-08-21 22:38:42,2025-08-21 22:40:58
3482991,3482992,2,1,1,2025-08-21 23:24:26,2025-08-21 23:26:58
3483002,3483003,2,1,1,2025-08-21 23:44:58,2025-08-21 23:47:38
3483008,3483009,2,1,1,2025-08-21 23:54:18,2025-08-21 23:56:34
3483020,3483023,4,1,1,2025-08-22 00:15:15,2025-08-22 00:22:43
3483033,3483036,4,1,1,2025-08-22 00:41:55,2025-08-22 00:50:35
3483112,3483113,2,1,1,2025-08-22 03:17:57,2025-08-22 03:21:49
3483114,3483116,3,1,1,2025-08-22 03:22:45,2025-08-22 03:27:25
3483732,3483732,1,1,1,2025-08-23 00:17:54,2025-08-23 00:17:54
3485604,3485604,1,1,1,2025-08-25 15:16:33,2025-08-25 15:16:33
3485664,3485665,2,1,1,2025-08-25 16:57:19,2025-08-25 16:58:45
3485673,3485674,2,1,1,2025-08-25 17:11:16,2025-08-25 17:14:18
3485698,3485700,3,2,2,2025-08-25 18:11:26,2025-08-25 18:13:10
3485704,3485705,2,1,1,2025-08-25 18:24:56,2025-08-25 18:28:55
3485706,3485707,2,1,1,2025-08-25 18:32:35,2025-08-25 18:34:48
3485708,3485720,13,9,9,2025-08-25 18:37:16,2025-08-25 18:56:41
3485721,3485722,2,1,1,2025-08-25 18:59:24,2025-08-25 19:01:10
3485723,3485724,2,1,1,2025-08-25 19:02:04,2025-08-25 19:03:16
3485726,3485735,10,9,9,2025-08-25 19:08:46,2025-08-25 19:25:35
3485742,3485744,3,2,2,2025-08-25 19:47:35,2025-08-25 19:48:12
3485749,3485752,4,3,3,2025-08-25 19:55:14,2025-08-25 20:05:26
3485759,3485761,3,2,2,2025-08-25 20:25:22,2025-08-25 20:28:53
3485764,3485765,2,1,1,2025-08-25 20:32:58,2025-08-25 20:33:52
3485787,3485788,2,1,1,2025-08-25 21:22:16,2025-08-25 21:22:44
3485791,3485792,2,1,1,2025-08-25 21:30:05,2025-08-25 21:33:28
3485794,3485795,2,1,1,2025-08-25 21:38:48,2025-08-25 21:39:42
3485799,3485800,2,1,1,2025-08-25 21:46:27,2025-08-25 21:46:57
3485806,3485807,2,1,1,2025-08-25 22:13:55,2025-08-25 22:18:39
3485808,3485823,16,9,9,2025-08-25 22:18:56,2025-08-25 22:59:55
3485831,3485832,2,1,1,2025-08-25 23:16:46,2025-08-25 23:17:47
3485834,3485839,6,5,5,2025-08-25 23:20:18,2025-08-25 23:30:49
3485843,3485844,2,1,1,2025-08-25 23:38:11,2025-08-25 23:40:03
3485847,3485848,2,1,1,2025-08-25 23:48:08,2025-08-25 23:50:11
3485850,3485852,3,2,2,2025-08-25 23:53:48,2025-08-25 23:56:31
3485861,3485862,2,1,1,2025-08-26 00:12:32,2025-08-26 00:15:52
3485863,3485864,2,1,1,2025-08-26 00:18:06,2025-08-26 00:21:35
3485868,3485869,2,1,1,2025-08-26 00:27:32,2025-08-26 00:27:34
3485870,3485872,3,2,2,2025-08-26 00:29:55,2025-08-26 00:34:40
3485873,3485874,2,1,1,2025-08-26 00:36:17,2025-08-26 00:38:11
3485878,3485879,2,1,1,2025-08-26 00:50:32,2025-08-26 00:51:20
3485908,3485910,3,2,2,2025-08-26 01:38:55,2025-08-26 01:40:26
3485942,3485943,2,1,1,2025-08-26 02:45:05,2025-08-26 02:45:21
3485948,3485949,2,1,1,2025-08-26 02:49:52,2025-08-26 02:51:32
3485961,3485962,2,1,1,2025-08-26 03:17:38,2025-08-26 03:19:00
3485963,3485975,13,9,9,2025-08-26 03:23:12,2025-08-26 03:57:55
3485976,3485977,2,1,1,2025-08-26 04:05:41,2025-08-26 04:10:39
3485987,3485988,2,1,1,2025-08-26 04:25:31,2025-08-26 04:25:43
3485989,3485990,2,1,1,2025-08-26 04:34:42,2025-08-26 04:36:36
3485994,3485995,2,1,1,2025-08-26 04:49:31,2025-08-26 04:53:40
3486004,3486006,3,2,2,2025-08-26 05:09:15,2025-08-26 05:14:30
3486010,3486011,2,1,1,2025-08-26 05:22:29,2025-08-26 05:24:41
3486032,3486033,2,1,1,2025-08-26 06:02:38,2025-08-26 06:04:47
3486073,3486074,2,1,1,2025-08-26 07:16:00,2025-08-26 07:20:56
3487257,3487258,2,1,1,2025-08-28 00:24:37,2025-08-28 00:24:42
3487278,3487279,2,1,1,2025-08-28 01:23:59,2025-08-28 01:24:33
3487287,3487288,2,1,1,2025-08-28 01:38:32,2025-08-28 01:39:13
3487291,3487292,2,1,1,2025-08-28 01:46:26,2025-08-28 01:50:18
3487648,3487649,2,1,1,2025-08-28 12:09:14,2025-08-28 12:10:21
3487658,3487659,2,1,1,2025-08-28 12:25:22,2025-08-28 12:28:26
3487663,3487664,2,1,1,2025-08-28 12:34:06,2025-08-28 12:36:29
3487666,3487667,2,1,1,2025-08-28 12:42:42,2025-08-28 12:44:28
3487683,3487685,3,2,2,2025-08-28 13:11:28,2025-08-28 13:14:46
3487689,3487693,5,4,4,2025-08-28 13:28:44,2025-08-28 13:42:52
3487726,3487728,3,2,2,2025-08-28 14:49:44,2025-08-28 14:53:23
3487740,3487741,2,1,1,2025-08-28 15:20:51,2025-08-28 15:26:04
3487743,3487744,2,1,1,2025-08-28 15:36:56,2025-08-28 15:40:32
3487754,3487755,2,1,1,2025-08-28 15:54:19,2025-08-28 15:56:33
3487757,3487758,2,1,1,2025-08-28 16:00:32,2025-08-28 16:05:14
3487762,3487763,2,1,1,2025-08-28 16:10:47,2025-08-28 16:10:55
3487776,3487779,4,3,3,2025-08-28 16:35:50,2025-08-28 16:48:58
3487784,3487785,2,1,1,2025-08-28 16:58:48,2025-08-28 16:58:53
3487791,3487794,4,3,3,2025-08-28 17:18:29,2025-08-28 17:20:45
3487800,3487801,2,1,1,2025-08-28 17:30:01,2025-08-28 17:32:10
3487802,3487804,3,2,2,2025-08-28 17:33:56,2025-08-28 17:37:46
3487805,3487806,2,1,1,2025-08-28 17:42:25,2025-08-28 17:47:48
3487807,3487808,2,1,1,2025-08-28 17:48:35,2025-08-28 17:50:10
3487810,3487811,2,1,1,2025-08-28 17:52:59,2025-08-28 17:55:33
3487823,3487824,2,1,1,2025-08-28 18:18:51,2025-08-28 18:23:02
3487825,3487826,2,1,1,2025-08-28 18:24:25,2025-08-28 18:25:37
3487839,3487840,2,1,1,2025-08-28 18:43:51,2025-08-28 18:48:11
3487853,3487854,2,1,1,2025-08-28 19:10:36,2025-08-28 19:11:30
3487855,3487856,2,1,1,2025-08-28 19:14:09,2025-08-28 19:16:56
3487858,3487860,3,2,2,2025-08-28 19:17:40,2025-08-28 19:24:11
3487867,3487868,2,1,1,2025-08-28 19:33:50,2025-08-28 19:34:14
3487884,3487885,2,1,1,2025-08-28 20:03:58,2025-08-28 20:06:59
3487886,3487887,2,1,1,2025-08-28 20:07:56,2025-08-28 20:10:36
3487893,3487894,2,1,1,2025-08-28 20:25:14,2025-08-28 20:25:59
3487895,3487896,2,1,1,2025-08-28 20:27:31,2025-08-28 20:30:51
3487899,3487900,2,1,1,2025-08-28 20:33:52,2025-08-28 20:34:32
3487905,3487906,2,1,1,2025-08-28 20:45:18,2025-08-28 20:45:45
3487917,3487918,2,1,1,2025-08-28 21:13:30,2025-08-28 21:14:05
3487920,3487921,2,1,1,2025-08-28 21:24:46,2025-08-28 21:28:34
3487926,3487927,2,1,1,2025-08-28 21:40:05,2025-08-28 21:40:33
3487943,3487944,2,1,1,2025-08-28 22:16:41,2025-08-28 22:17:38
3487947,3487948,2,1,1,2025-08-28 22:22:00,2025-08-28 22:24:13
3487959,3487960,2,1,1,2025-08-28 22:41:49,2025-08-28 22:48:02
3487961,3487965,5,4,4,2025-08-28 22:48:52,2025-08-28 22:58:06
3487968,3487969,2,1,1,2025-08-28 23:04:43,2025-08-28 23:06:09
3487974,3487975,2,1,1,2025-08-28 23:09:18,2025-08-28 23:09:55
3487982,3487983,2,1,1,2025-08-28 23:30:03,2025-08-28 23:31:10
3487987,3487989,3,2,2,2025-08-28 23:37:24,2025-08-28 23:41:12
3487994,3487995,2,1,1,2025-08-28 23:52:43,2025-08-29 00:05:30
3487998,3488000,3,2,2,2025-08-29 00:13:32,2025-08-29 00:15:31
3488001,3488002,2,1,1,2025-08-29 00:26:08,2025-08-29 00:26:21
3488003,3488004,2,1,1,2025-08-29 00:34:42,2025-08-29 00:39:31
3488015,3488016,2,1,1,2025-08-29 00:56:37,2025-08-29 00:58:27
3488026,3488027,2,1,1,2025-08-29 01:20:54,2025-08-29 01:24:29
3488028,3488029,2,1,1,2025-08-29 01:26:11,2025-08-29 01:27:02
3488036,3488037,2,1,1,2025-08-29 01:46:15,2025-08-29 01:51:46
3488040,3488041,2,1,1,2025-08-29 01:53:20,2025-08-29 01:59:49
3488051,3488052,2,1,1,2025-08-29 02:14:04,2025-08-29 02:18:56
3488057,3488058,2,2,1,2025-08-29 02:27:08,2025-08-29 02:27:11
3488059,3488060,2,1,1,2025-08-29 02:31:41,2025-08-29 02:34:33
3488075,3488077,3,2,2,2025-08-29 03:05:24,2025-08-29 03:06:01
3488078,3488079,2,1,1,2025-08-29 03:07:36,2025-08-29 03:12:16
3488080,3488081,2,1,1,2025-08-29 03:12:47,2025-08-29 03:13:33
3488094,3488095,2,1,1,2025-08-29 03:51:17,2025-08-29 03:51:28
3488125,3488126,2,1,1,2025-08-29 05:17:04,2025-08-29 05:17:50
3488127,3488128,2,1,1,2025-08-29 05:18:28,2025-08-29 05:19:53
3488136,3488142,7,5,5,2025-08-29 05:35:39,2025-08-29 05:45:02
3488145,3488146,2,1,1,2025-08-29 05:47:32,2025-08-29 05:48:47
3488147,3488148,2,1,1,2025-08-29 05:49:22,2025-08-29 05:54:55
3488149,3488150,2,1,1,2025-08-29 05:55:47,2025-08-29 05:55:59
3488151,3488152,2,1,1,2025-08-29 06:02:21,2025-08-29 06:04:14
3488160,3488161,2,1,1,2025-08-29 06:17:51,2025-08-29 06:18:04
3488183,3488184,2,1,1,2025-08-29 06:58:28,2025-08-29 06:59:51
3488205,3488206,2,2,2,2025-08-29 07:39:05,2025-08-29 07:41:03
3488208,3488209,2,1,1,2025-08-29 07:47:20,2025-08-29 07:48:04
3488216,3488217,2,1,1,2025-08-29 08:01:12,2025-08-29 08:01:34
3488235,3488236,2,1,1,2025-08-29 08:41:22,2025-08-29 08:43:02
3488516,3488517,2,1,1,2025-08-29 17:12:57,2025-08-29 17:13:25
