start_height,end_height,length_qubic_run,total_orphans_on_run,max_consecutive_orphan_heights,start_ts,end_ts
3490621,3490622,2,1,1,2025-09-01 14:11:50,2025-09-01 14:12:51
3490631,3490632,2,1,1,2025-09-01 14:30:44,2025-09-01 14:35:54
3490646,3490647,2,1,1,2025-09-01 14:51:25,2025-09-01 14:56:02
3490659,3490660,2,1,1,2025-09-01 15:12:08,2025-09-01 15:15:27
3490664,3490665,2,1,1,2025-09-01 15:19:19,2025-09-01 15:20:21
3490671,3490672,2,1,1,2025-09-01 15:39:34,2025-09-01 15:42:13
3490673,3490680,8,5,5,2025-09-01 15:44:30,2025-09-01 15:56:25
3490732,3490733,2,1,1,2025-09-01 17:31:55,2025-09-01 17:32:20
3490740,3490741,2,1,1,2025-09-01 17:47:09,2025-09-01 17:47:59
3490749,3490750,2,1,1,2025-09-01 17:57:08,2025-09-01 18:11:02
3490756,3490757,2,1,1,2025-09-01 18:18:53,2025-09-01 18:22:59
3490800,3490807,8,6,6,2025-09-01 19:35:32,2025-09-01 19:50:45
3490811,3490815,5,3,3,2025-09-01 20:03:09,2025-09-01 20:16:21
3490818,3490819,2,1,1,2025-09-01 20:22:09,2025-09-01 20:22:27
3490820,3490822,3,2,2,2025-09-01 20:25:09,2025-09-01 20:27:01
3490826,3490827,2,1,1,2025-09-01 20:41:07,2025-09-01 20:41:45
3490832,3490833,2,1,1,2025-09-01 20:51:32,2025-09-01 20:51:46
3490848,3490849,2,1,1,2025-09-01 21:17:22,2025-09-01 21:19:08
3490853,3490856,4,1,1,2025-09-01 21:27:59,2025-09-01 21:37:00
3490861,3490862,2,1,1,2025-09-01 21:49:19,2025-09-01 21:52:52
3490868,3490872,5,3,3,2025-09-01 21:57:25,2025-09-01 22:02:49
3490873,3490881,9,7,7,2025-09-01 22:08:09,2025-09-01 22:38:33
3490882,3490883,2,1,1,2025-09-01 22:41:01,2025-09-01 22:54:33
3490884,3490885,2,1,1,2025-09-01 22:54:54,2025-09-01 22:58:29
3490888,3490889,2,1,1,2025-09-01 23:05:10,2025-09-01 23:08:53
3490894,3490895,2,1,1,2025-09-01 23:21:29,2025-09-01 23:24:28
3490900,3490901,2,1,1,2025-09-01 23:27:22,2025-09-01 23:27:25
3490906,3490910,5,3,3,2025-09-01 23:43:22,2025-09-01 23:48:50
3490911,3490912,2,1,1,2025-09-01 23:52:33,2025-09-02 00:03:28
3490913,3490914,2,1,1,2025-09-02 00:05:08,2025-09-02 00:10:36
3490918,3490919,2,1,1,2025-09-02 00:15:10,2025-09-02 00:18:59
3490920,3490921,2,1,1,2025-09-02 00:20:39,2025-09-02 00:22:25
3490925,3490927,3,2,2,2025-09-02 00:32:59,2025-09-02 00:36:39
3490930,3490931,2,1,1,2025-09-02 00:42:49,2025-09-02 00:44:05
3490936,3490937,2,1,1,2025-09-02 00:58:26,2025-09-02 01:00:08
3490942,3490943,2,1,1,2025-09-02 01:14:02,2025-09-02 01:14:10
3490946,3490947,2,1,1,2025-09-02 01:21:05,2025-09-02 01:22:08
3490951,3490954,4,3,3,2025-09-02 01:41:47,2025-09-02 01:47:55
3490982,3490986,5,3,3,2025-09-02 02:56:58,2025-09-02 03:05:12
3490991,3490993,3,2,2,2025-09-02 03:12:32,2025-09-02 03:21:26
3491008,3491009,2,1,1,2025-09-02 04:06:33,2025-09-02 04:07:59
3491018,3491019,2,1,1,2025-09-02 04:25:17,2025-09-02 04:28:03
3491026,3491027,2,1,1,2025-09-02 04:39:23,2025-09-02 04:45:03
3491028,3491029,2,1,1,2025-09-02 04:46:05,2025-09-02 04:52:19
3491033,3491034,2,1,1,2025-09-02 05:07:33,2025-09-02 05:09:01
3491046,3491047,2,1,1,2025-09-02 05:35:57,2025-09-02 05:36:07
3491054,3491056,3,2,2,2025-09-02 05:51:17,2025-09-02 05:55:43
3491060,3491061,2,1,1,2025-09-02 06:12:54,2025-09-02 06:15:27
3491065,3491066,2,2,2,2025-09-02 06:19:13,2025-09-02 06:26:00
3491070,3491071,2,1,1,2025-09-02 06:43:14,2025-09-02 06:46:58
3491074,3491075,2,1,1,2025-09-02 06:56:30,2025-09-02 06:58:04
3491078,3491079,2,1,1,2025-09-02 07:05:08,2025-09-02 07:05:32
3491083,3491084,2,1,1,2025-09-02 07:15:55,2025-09-02 07:16:52
3491085,3491086,2,1,1,2025-09-02 07:24:25,2025-09-02 07:24:51
3491089,3491090,2,1,1,2025-09-02 07:27:50,2025-09-02 07:27:54
3491104,3491105,2,1,1,2025-09-02 07:56:53,2025-09-02 07:59:28
3491120,3491122,3,2,2,2025-09-02 08:32:21,2025-09-02 08:37:43
3491129,3491130,2,1,1,2025-09-02 08:51:33,2025-09-02 08:54:04
3491131,3491133,3,2,2,2025-09-02 08:54:28,2025-09-02 08:56:37
3491136,3491137,2,1,1,2025-09-02 09:03:34,2025-09-02 09:04:30
3491143,3491144,2,1,1,2025-09-02 09:12:25,2025-09-02 09:17:46
3491145,3491146,2,1,1,2025-09-02 09:18:20,2025-09-02 09:20:15
3491157,3491158,2,1,1,2025-09-02 09:34:33,2025-09-02 09:39:07
3491159,3491161,3,2,2,2025-09-02 09:40:17,2025-09-02 09:42:22
3491177,3491178,2,1,1,2025-09-02 10:23:51,2025-09-02 10:25:37
3491179,3491180,2,1,1,2025-09-02 10:28:13,2025-09-02 10:31:31
3491186,3491187,2,1,1,2025-09-02 10:43:29,2025-09-02 10:46:13
3491194,3491195,2,1,1,2025-09-02 10:59:43,2025-09-02 11:00:32
3491199,3491200,2,1,1,2025-09-02 11:07:53,2025-09-02 11:12:37
3491201,3491202,2,1,1,2025-09-02 11:14:09,2025-09-02 11:16:49
3491203,3491204,2,1,1,2025-09-02 11:17:15,2025-09-02 11:18:21
3491206,3491210,5,4,4,2025-09-02 11:20:07,2025-09-02 11:22:29
3491227,3491228,2,1,1,2025-09-02 12:00:16,2025-09-02 12:03:19
3492792,3492792,1,1,1,2025-09-04 13:38:06,2025-09-04 13:38:06
3492845,3492846,2,1,1,2025-09-04 15:41:53,2025-09-04 15:46:04
3492878,3492882,5,3,3,2025-09-04 17:14:17,2025-09-04 17:18:48
3492885,3492886,2,1,1,2025-09-04 17:23:30,2025-09-04 17:26:15
3492894,3492895,2,1,1,2025-09-04 17:47:37,2025-09-04 17:49:46
3492904,3492905,2,1,1,2025-09-04 18:07:03,2025-09-04 18:11:35
3492906,3492908,3,2,2,2025-09-04 18:12:32,2025-09-04 18:14:13
3492909,3492910,2,1,1,2025-09-04 18:17:19,2025-09-04 18:22:45
3492917,3492918,2,1,1,2025-09-04 18:42:05,2025-09-04 18:43:46
3492920,3492921,2,1,1,2025-09-04 18:46:58,2025-09-04 18:51:46
3492928,3492932,5,4,4,2025-09-04 19:05:44,2025-09-04 19:18:16
3492952,3492953,2,1,1,2025-09-04 19:53:03,2025-09-04 19:55:04
3492959,3492960,2,1,1,2025-09-04 20:08:09,2025-09-04 20:09:00
3492961,3492962,2,1,1,2025-09-04 20:11:31,2025-09-04 20:12:40
3492964,3492965,2,1,1,2025-09-04 20:18:56,2025-09-04 20:20:03
3492967,3492973,7,5,5,2025-09-04 20:31:47,2025-09-04 20:47:39
3492975,3492976,2,1,1,2025-09-04 20:51:06,2025-09-04 20:51:45
3492977,3492978,2,1,1,2025-09-04 20:52:50,2025-09-04 20:53:54
3492981,3492982,2,1,1,2025-09-04 21:07:12,2025-09-04 21:18:09
3492987,3492988,2,1,1,2025-09-04 21:32:00,2025-09-04 21:33:39
3492992,3492994,3,2,2,2025-09-04 21:40:41,2025-09-04 21:47:53
3493000,3493001,2,1,1,2025-09-04 22:27:22,2025-09-04 22:28:02
3493002,3493005,4,3,3,2025-09-04 22:32:45,2025-09-04 22:37:44
3493006,3493007,2,1,1,2025-09-04 22:45:49,2025-09-04 22:51:12
3493008,3493009,2,1,1,2025-09-04 22:52:16,2025-09-04 22:54:04
3493010,3493011,2,1,1,2025-09-04 22:56:44,2025-09-04 23:03:53
3493022,3493023,2,1,1,2025-09-04 23:25:30,2025-09-04 23:27:30
3493025,3493034,10,8,8,2025-09-04 23:32:54,2025-09-04 23:58:36
3493116,3493117,2,1,1,2025-09-05 03:23:01,2025-09-05 03:24:18
3493121,3493123,3,1,1,2025-09-05 03:28:11,2025-09-05 03:30:43
3493128,3493129,2,1,1,2025-09-05 03:40:23,2025-09-05 03:42:47
3493133,3493134,2,1,1,2025-09-05 03:52:16,2025-09-05 03:53:38
3493137,3493138,2,1,1,2025-09-05 04:11:17,2025-09-05 04:13:25
3493147,3493148,2,1,1,2025-09-05 04:30:04,2025-09-05 04:32:13
3493149,3493150,2,1,1,2025-09-05 04:33:07,2025-09-05 04:36:10
3493153,3493154,2,1,1,2025-09-05 04:42:11,2025-09-05 04:47:37
3493164,3493168,5,3,3,2025-09-05 05:03:39,2025-09-05 05:07:38
3493174,3493175,2,1,1,2025-09-05 05:18:03,2025-09-05 05:18:35
3493182,3493183,2,1,1,2025-09-05 05:30:13,2025-09-05 05:32:33
3493185,3493186,2,1,1,2025-09-05 05:37:00,2025-09-05 05:38:22
3493188,3493189,2,1,1,2025-09-05 05:47:29,2025-09-05 05:48:49
3493200,3493201,2,1,1,2025-09-05 06:11:39,2025-09-05 06:17:38
3493205,3493206,2,1,1,2025-09-05 06:18:59,2025-09-05 06:24:56
3493210,3493214,5,3,3,2025-09-05 06:31:33,2025-09-05 06:37:04
3493220,3493221,2,1,1,2025-09-05 06:44:41,2025-09-05 06:47:52
3493222,3493226,5,3,3,2025-09-05 06:48:50,2025-09-05 06:56:00
3493237,3493238,2,1,1,2025-09-05 07:23:28,2025-09-05 07:27:34
3493242,3493243,2,1,1,2025-09-05 07:29:59,2025-09-05 07:30:06
3493245,3493246,2,1,1,2025-09-05 07:33:24,2025-09-05 07:35:12
3493251,3493252,2,1,1,2025-09-05 07:45:21,2025-09-05 07:49:09
3493255,3493258,4,3,3,2025-09-05 07:55:07,2025-09-05 08:04:24
3493261,3493262,2,1,1,2025-09-05 08:12:30,2025-09-05 08:13:28
3493266,3493269,4,3,3,2025-09-05 08:17:31,2025-09-05 08:18:51
3493270,3493271,2,1,1,2025-09-05 08:24:19,2025-09-05 08:27:06
3493272,3493273,2,1,1,2025-09-05 08:31:55,2025-09-05 08:32:22
3493285,3493286,2,1,1,2025-09-05 08:44:13,2025-09-05 08:44:39
3493298,3493299,2,1,1,2025-09-05 09:07:25,2025-09-05 09:10:02
3493308,3493309,2,1,1,2025-09-05 09:24:15,2025-09-05 09:24:25
3493311,3493312,2,1,1,2025-09-05 09:33:41,2025-09-05 09:38:25
3493314,3493317,4,3,3,2025-09-05 09:40:46,2025-09-05 09:54:40
3493321,3493328,8,6,6,2025-09-05 10:14:05,2025-09-05 10:31:57
3493331,3493332,2,1,1,2025-09-05 10:35:12,2025-09-05 10:42:21
3493347,3493348,2,1,1,2025-09-05 11:09:46,2025-09-05 11:11:24
3493362,3493363,2,1,1,2025-09-05 11:37:07,2025-09-05 11:46:50
3493368,3493369,2,1,1,2025-09-05 11:58:56,2025-09-05 11:59:07
3493371,3493372,2,1,1,2025-09-05 12:01:21,2025-09-05 12:01:47
3493396,3493397,2,1,1,2025-09-05 12:48:28,2025-09-05 12:56:36
3493449,3493450,2,1,1,2025-09-05 14:51:56,2025-09-05 14:57:18
3493456,3493457,2,1,1,2025-09-05 15:09:19,2025-09-05 15:09:24
3493476,3493477,2,1,1,2025-09-05 15:46:54,2025-09-05 15:49:31
3493500,3493501,2,1,1,2025-09-05 16:42:27,2025-09-05 16:42:34
3493520,3493521,2,1,1,2025-09-05 17:19:52,2025-09-05 17:21:54
3493522,3493523,2,1,1,2025-09-05 17:24:35,2025-09-05 17:25:17
3493566,3493567,2,1,1,2025-09-05 18:44:34,2025-09-05 18:45:34
3493599,3493600,2,1,1,2025-09-05 19:29:27,2025-09-05 19:32:03
3493601,3493604,4,3,3,2025-09-05 19:38:08,2025-09-05 19:43:24
3493702,3493703,2,1,1,2025-09-05 23:12:14,2025-09-05 23:12:18
3493727,3493728,2,1,1,2025-09-05 23:56:35,2025-09-05 23:56:41
3493747,3493748,2,1,1,2025-09-06 00:46:55,2025-09-06 00:48:13
3493751,3493752,2,1,1,2025-09-06 00:49:56,2025-09-06 00:51:59
3493793,3493794,2,1,1,2025-09-06 02:17:54,2025-09-06 02:25:29
3493804,3493806,3,1,1,2025-09-06 02:51:33,2025-09-06 02:55:27
3493809,3493810,2,1,1,2025-09-06 02:59:59,2025-09-06 03:05:13
3493811,3493812,2,1,1,2025-09-06 03:08:32,2025-09-06 03:09:18
3493837,3493839,3,2,2,2025-09-06 04:34:04,2025-09-06 04:35:36
3493853,3493854,2,1,1,2025-09-06 05:06:51,2025-09-06 05:09:37
3493884,3493886,3,2,2,2025-09-06 05:49:41,2025-09-06 05:52:01
3493890,3493891,2,1,1,2025-09-06 06:00:44,2025-09-06 06:01:16
3493894,3493895,2,1,1,2025-09-06 06:05:04,2025-09-06 06:06:58
3493928,3493929,2,1,1,2025-09-06 07:20:29,2025-09-06 07:23:37
3493930,3493931,2,1,1,2025-09-06 07:30:02,2025-09-06 07:31:07
3493933,3493934,2,1,1,2025-09-06 07:34:36,2025-09-06 07:37:18
3493947,3493948,2,1,1,2025-09-06 08:13:52,2025-09-06 08:15:20
3493968,3493969,2,1,1,2025-09-06 08:51:43,2025-09-06 08:53:07
3493970,3493971,2,1,1,2025-09-06 08:55:18,2025-09-06 09:00:29
3493999,3494000,2,1,1,2025-09-06 09:44:20,2025-09-06 09:46:16
3494050,3494051,2,1,1,2025-09-06 11:13:48,2025-09-06 11:14:51
3494053,3494056,4,1,1,2025-09-06 11:18:24,2025-09-06 11:22:44
3494085,3494086,2,1,1,2025-09-06 12:06:36,2025-09-06 12:10:39
3494100,3494101,2,1,1,2025-09-06 12:32:24,2025-09-06 12:33:24
3494104,3494105,2,1,1,2025-09-06 12:42:38,2025-09-06 12:44:13
3494128,3494129,2,1,1,2025-09-06 13:32:23,2025-09-06 13:38:10
3494146,3494148,3,2,2,2025-09-06 13:59:07,2025-09-06 14:02:09
3494152,3494153,2,1,1,2025-09-06 14:08:23,2025-09-06 14:12:16
3494160,3494161,2,1,1,2025-09-06 14:23:19,2025-09-06 14:26:59
3494167,3494168,2,1,1,2025-09-06 14:37:01,2025-09-06 14:37:30
3494173,3494174,2,1,1,2025-09-06 14:49:47,2025-09-06 14:50:33
3494175,3494176,2,1,1,2025-09-06 14:52:24,2025-09-06 14:53:18
3494177,3494178,2,1,1,2025-09-06 14:55:07,2025-09-06 14:57:12
3494179,3494180,2,1,1,2025-09-06 14:59:12,2025-09-06 15:07:14
3494184,3494187,4,3,3,2025-09-06 15:13:34,2025-09-06 15:13:54
3494193,3494194,2,1,1,2025-09-06 15:25:11,2025-09-06 15:27:47
3494196,3494197,2,1,1,2025-09-06 15:30:49,2025-09-06 15:32:07
3494202,3494203,2,1,1,2025-09-06 15:39:57,2025-09-06 15:41:02
3494204,3494205,2,1,1,2025-09-06 15:41:59,2025-09-06 15:42:36
3494214,3494215,2,1,1,2025-09-06 15:57:56,2025-09-06 15:59:37
3494217,3494221,5,3,3,2025-09-06 16:03:09,2025-09-06 16:09:19
3494229,3494230,2,1,1,2025-09-06 16:18:11,2025-09-06 16:18:49
3494238,3494239,2,1,1,2025-09-06 16:28:45,2025-09-06 16:34:27
3494240,3494241,2,1,1,2025-09-06 16:35:37,2025-09-06 16:36:29
3494253,3494254,2,1,1,2025-09-06 16:51:08,2025-09-06 16:58:10
3494259,3494260,2,1,1,2025-09-06 17:11:37,2025-09-06 17:13:32
3494261,3494262,2,1,1,2025-09-06 17:15:16,2025-09-06 17:17:25
3494268,3494269,2,1,1,2025-09-06 17:22:17,2025-09-06 17:35:04
3494271,3494272,2,1,1,2025-09-06 17:35:54,2025-09-06 17:38:39
3494274,3494275,2,1,1,2025-09-06 17:43:06,2025-09-06 17:44:14
3494280,3494282,3,2,2,2025-09-06 17:52:32,2025-09-06 17:53:15
3494306,3494307,2,1,1,2025-09-06 18:29:06,2025-09-06 18:30:17
3494322,3494323,2,1,1,2025-09-06 18:48:15,2025-09-06 18:49:11
3494326,3494327,2,1,1,2025-09-06 18:53:52,2025-09-06 18:55:58
3494336,3494343,8,7,7,2025-09-06 19:00:07,2025-09-06 19:20:46
3494344,3494345,2,1,1,2025-09-06 19:35:07,2025-09-06 19:38:02
3494352,3494353,2,1,1,2025-09-06 19:51:23,2025-09-06 19:52:35
3494366,3494367,2,1,1,2025-09-06 20:05:51,2025-09-06 20:07:26
3494377,3494377,1,1,1,2025-09-06 20:21:40,2025-09-06 20:21:40
3494379,3494380,2,1,1,2025-09-06 20:23:44,2025-09-06 20:25:52
3494387,3494388,2,1,1,2025-09-06 20:36:25,2025-09-06 20:40:28
3494394,3494395,2,1,1,2025-09-06 20:56:35,2025-09-06 21:00:52
3494398,3494400,3,1,1,2025-09-06 21:03:15,2025-09-06 21:04:33
3494410,3494411,2,1,1,2025-09-06 21:21:38,2025-09-06 21:22:41
3494418,3494419,2,1,1,2025-09-06 21:34:58,2025-09-06 21:36:27
3494421,3494422,2,1,1,2025-09-06 21:39:44,2025-09-06 21:43:47
3494424,3494425,2,1,1,2025-09-06 21:49:31,2025-09-06 21:49:37
3494431,3494432,2,1,1,2025-09-06 22:00:04,2025-09-06 22:02:12
3494437,3494438,2,1,1,2025-09-06 22:11:27,2025-09-06 22:15:13
3494443,3494445,3,1,1,2025-09-06 22:23:28,2025-09-06 22:25:28
3494450,3494451,2,1,1,2025-09-06 22:29:12,2025-09-06 22:33:13
3494455,3494456,2,1,1,2025-09-06 22:41:26,2025-09-06 22:42:15
3494457,3494458,2,1,1,2025-09-06 22:43:39,2025-09-06 22:47:10
3494459,3494461,3,2,2,2025-09-06 22:49:15,2025-09-06 22:53:25
3494462,3494463,2,1,1,2025-09-06 22:54:26,2025-09-06 23:01:35
3494466,3494467,2,1,1,2025-09-06 23:05:02,2025-09-06 23:08:52
3494471,3494472,2,1,1,2025-09-06 23:18:27,2025-09-06 23:20:29
3494477,3494479,3,2,2,2025-09-06 23:25:39,2025-09-06 23:30:03
3494483,3494484,2,1,1,2025-09-06 23:34:40,2025-09-06 23:34:55
3494490,3494491,2,1,1,2025-09-06 23:51:47,2025-09-06 23:51:53
3494496,3494497,2,1,1,2025-09-07 00:08:07,2025-09-07 00:09:52
3494504,3494506,3,1,1,2025-09-07 00:20:58,2025-09-07 00:21:56
3494512,3494513,2,1,1,2025-09-07 00:38:31,2025-09-07 00:44:29
3494533,3494534,2,1,1,2025-09-07 01:38:05,2025-09-07 01:46:42
3494538,3494547,10,8,8,2025-09-07 02:00:30,2025-09-07 02:14:14
3494552,3494554,3,2,2,2025-09-07 02:31:41,2025-09-07 02:32:50
3494558,3494559,2,1,1,2025-09-07 02:37:28,2025-09-07 02:47:05
3494560,3494561,2,1,1,2025-09-07 02:51:11,2025-09-07 02:51:31
3494569,3494571,3,2,2,2025-09-07 03:03:15,2025-09-07 03:06:13
3494576,3494584,9,7,7,2025-09-07 03:15:07,2025-09-07 03:28:58
3494588,3494589,2,1,1,2025-09-07 03:47:40,2025-09-07 03:51:01
3494591,3494592,2,1,1,2025-09-07 03:57:34,2025-09-07 04:01:06
3494594,3494595,2,1,1,2025-09-07 04:08:07,2025-09-07 04:09:09
3494599,3494600,2,1,1,2025-09-07 04:24:47,2025-09-07 04:26:40
3494601,3494602,2,1,1,2025-09-07 04:28:25,2025-09-07 04:33:37
3494603,3494604,2,1,1,2025-09-07 04:40:27,2025-09-07 04:44:12
3494610,3494611,2,1,1,2025-09-07 04:51:42,2025-09-07 04:54:04
3494615,3494616,2,1,1,2025-09-07 05:07:17,2025-09-07 05:07:51
3494623,3494624,2,1,1,2025-09-07 05:18:30,2025-09-07 05:20:40
3494628,3494633,6,4,4,2025-09-07 05:28:28,2025-09-07 05:44:50
3494646,3494649,4,3,3,2025-09-07 06:18:55,2025-09-07 06:21:08
3494650,3494651,2,1,1,2025-09-07 06:24:27,2025-09-07 06:27:00
3494654,3494655,2,1,1,2025-09-07 06:38:33,2025-09-07 06:41:39
3494662,3494664,3,2,2,2025-09-07 07:00:26,2025-09-07 07:00:39
3494683,3494684,2,1,1,2025-09-07 07:52:21,2025-09-07 07:56:34
3494685,3494687,3,2,2,2025-09-07 07:57:25,2025-09-07 08:00:16
3494701,3494702,2,1,1,2025-09-07 08:38:00,2025-09-07 08:43:26
3494706,3494708,3,2,2,2025-09-07 08:49:57,2025-09-07 08:52:54
3494709,3494712,4,3,3,2025-09-07 08:56:39,2025-09-07 09:00:54
3494719,3494723,5,3,3,2025-09-07 09:09:52,2025-09-07 09:15:11
3494724,3494725,2,1,1,2025-09-07 09:23:52,2025-09-07 09:25:10
3494726,3494728,3,2,2,2025-09-07 09:25:41,2025-09-07 09:32:36
3494729,3494730,2,1,1,2025-09-07 09:44:32,2025-09-07 09:44:42
3494736,3494737,2,1,1,2025-09-07 09:53:24,2025-09-07 09:55:12
3494745,3494746,2,1,1,2025-09-07 10:03:36,2025-09-07 10:05:21
3494750,3494751,2,1,1,2025-09-07 10:15:50,2025-09-07 10:16:11
3494772,3494773,2,1,1,2025-09-07 10:57:20,2025-09-07 10:59:02
3494775,3494776,2,1,1,2025-09-07 10:59:52,2025-09-07 11:03:02
3494777,3494781,5,3,3,2025-09-07 11:05:06,2025-09-07 11:10:08
3494783,3494784,2,1,1,2025-09-07 11:12:45,2025-09-07 11:13:13
3494800,3494801,2,1,1,2025-09-07 11:35:15,2025-09-07 11:39:22
3494808,3494809,2,1,1,2025-09-07 11:50:09,2025-09-07 11:50:19
3494888,3494889,2,1,1,2025-09-07 14:14:54,2025-09-07 14:16:18
3494899,3494900,2,1,1,2025-09-07 14:33:22,2025-09-07 14:35:14
3494934,3494937,4,3,3,2025-09-07 15:20:54,2025-09-07 15:21:27
3494940,3494941,2,1,1,2025-09-07 15:30:28,2025-09-07 15:32:52
3494947,3494948,2,1,1,2025-09-07 15:40:48,2025-09-07 15:43:33
3494950,3494952,3,1,1,2025-09-07 15:51:06,2025-09-07 15:52:45
3494963,3494966,4,3,3,2025-09-07 16:21:44,2025-09-07 16:25:07
3494985,3494986,2,1,1,2025-09-07 17:07:52,2025-09-07 17:08:53
3494987,3494988,2,1,1,2025-09-07 17:16:11,2025-09-07 17:17:28
3495006,3495007,2,1,1,2025-09-07 18:01:00,2025-09-07 18:04:00
3495008,3495009,2,1,1,2025-09-07 18:06:01,2025-09-07 18:09:41
3495036,3495038,3,1,1,2025-09-07 18:53:29,2025-09-07 18:55:45
3495055,3495056,2,1,1,2025-09-07 19:22:23,2025-09-07 19:25:39
3495057,3495058,2,1,1,2025-09-07 19:26:16,2025-09-07 19:29:48
3495059,3495060,2,1,1,2025-09-07 19:31:51,2025-09-07 19:31:53
3495061,3495062,2,1,1,2025-09-07 19:35:04,2025-09-07 19:35:06
3495064,3495065,2,1,1,2025-09-07 19:38:31,2025-09-07 19:38:52
3495077,3495078,2,1,1,2025-09-07 20:10:58,2025-09-07 20:12:31
3495086,3495087,2,1,1,2025-09-07 20:23:32,2025-09-07 20:24:30
3495100,3495101,2,1,1,2025-09-07 20:52:16,2025-09-07 20:53:54
3495103,3495108,6,3,3,2025-09-07 20:56:43,2025-09-07 21:11:54
3495115,3495118,4,3,3,2025-09-07 21:37:04,2025-09-07 21:42:34
3495120,3495125,6,2,2,2025-09-07 21:48:10,2025-09-07 21:57:26
3495133,3495135,3,1,1,2025-09-07 22:22:49,2025-09-07 22:25:47
3495136,3495137,2,1,1,2025-09-07 22:27:31,2025-09-07 22:29:29
3495138,3495142,5,1,1,2025-09-07 22:30:30,2025-09-07 22:40:57
3495153,3495155,3,1,1,2025-09-07 23:08:02,2025-09-07 23:10:09
3495161,3495162,2,1,1,2025-09-07 23:20:57,2025-09-07 23:26:26
3495172,3495173,2,1,1,2025-09-07 23:55:49,2025-09-07 23:57:44
3495175,3495176,2,1,1,2025-09-08 00:06:19,2025-09-08 00:06:35
3495188,3495190,3,2,2,2025-09-08 00:42:30,2025-09-08 00:45:23
3495199,3495200,2,1,1,2025-09-08 01:32:27,2025-09-08 01:32:57
3495243,3495244,2,1,1,2025-09-08 02:55:53,2025-09-08 02:58:21
3495245,3495246,2,1,1,2025-09-08 02:59:01,2025-09-08 02:59:47
3495247,3495248,2,1,1,2025-09-08 03:02:51,2025-09-08 03:04:27
3495249,3495250,2,1,1,2025-09-08 03:05:22,2025-09-08 03:07:01
3495251,3495254,4,1,1,2025-09-08 03:08:06,2025-09-08 03:14:25
3495267,3495268,2,1,1,2025-09-08 03:44:13,2025-09-08 03:49:22
3495269,3495270,2,1,1,2025-09-08 03:51:51,2025-09-08 03:52:11
3495273,3495276,4,1,1,2025-09-08 03:55:47,2025-09-08 03:59:59
3495294,3495295,2,1,1,2025-09-08 04:28:47,2025-09-08 04:29:29
3495298,3495299,2,1,1,2025-09-08 04:33:09,2025-09-08 04:40:29
3495329,3495330,2,1,1,2025-09-08 05:14:22,2025-09-08 05:16:26
3495350,3495351,2,1,1,2025-09-08 06:01:38,2025-09-08 06:03:25
3495352,3495353,2,1,1,2025-09-08 06:04:07,2025-09-08 06:09:04
3495411,3495413,3,2,2,2025-09-08 08:05:13,2025-09-08 08:05:34
3495468,3495469,2,1,1,2025-09-08 10:19:46,2025-09-08 10:22:46
3495500,3495501,2,1,1,2025-09-08 11:01:12,2025-09-08 11:04:52
3495507,3495508,2,1,1,2025-09-08 11:12:37,2025-09-08 11:16:51
3495531,3495532,2,1,1,2025-09-08 11:54:51,2025-09-08 11:56:10
3495546,3495547,2,1,1,2025-09-08 12:29:40,2025-09-08 12:32:42
3495554,3495558,5,3,3,2025-09-08 12:41:33,2025-09-08 12:49:07
3495574,3495578,5,3,3,2025-09-08 13:15:03,2025-09-08 13:22:59
3495579,3495580,2,1,1,2025-09-08 13:27:38,2025-09-08 13:28:23
3495584,3495585,2,1,1,2025-09-08 13:31:47,2025-09-08 13:35:02
3495586,3495587,2,1,1,2025-09-08 13:37:17,2025-09-08 13:38:40
3495593,3495594,2,1,1,2025-09-08 13:48:42,2025-09-08 13:51:01
3495598,3495599,2,1,1,2025-09-08 13:55:10,2025-09-08 13:56:16
3495600,3495601,2,1,1,2025-09-08 13:59:51,2025-09-08 14:09:10
3495621,3495628,8,6,6,2025-09-08 14:51:43,2025-09-08 15:04:17
3495633,3495634,2,1,1,2025-09-08 15:12:57,2025-09-08 15:19:34
3495635,3495636,2,1,1,2025-09-08 15:22:39,2025-09-08 15:23:45
3495663,3495664,2,1,1,2025-09-08 16:26:56,2025-09-08 16:27:57
3495680,3495681,2,1,1,2025-09-08 17:06:05,2025-09-08 17:08:45
3495684,3495685,2,1,1,2025-09-08 17:16:13,2025-09-08 17:20:08
3495692,3495694,3,1,1,2025-09-08 17:35:24,2025-09-08 17:38:22
3495713,3495714,2,1,1,2025-09-08 18:10:04,2025-09-08 18:14:04
3495730,3495731,2,1,1,2025-09-08 18:47:59,2025-09-08 18:50:54
3495741,3495742,2,1,1,2025-09-08 19:13:37,2025-09-08 19:18:02
3495743,3495744,2,1,1,2025-09-08 19:19:27,2025-09-08 19:24:18
3495747,3495748,2,1,1,2025-09-08 19:34:36,2025-09-08 19:34:53
3495766,3495767,2,1,1,2025-09-08 20:12:37,2025-09-08 20:20:03
3495778,3495779,2,1,1,2025-09-08 20:44:10,2025-09-08 20:44:28
3495780,3495781,2,1,1,2025-09-08 20:45:15,2025-09-08 20:46:34
3495791,3495793,3,2,2,2025-09-08 21:07:17,2025-09-08 21:09:02
3495806,3495807,2,1,1,2025-09-08 21:25:11,2025-09-08 21:27:45
3495824,3495825,2,1,1,2025-09-08 22:05:31,2025-09-08 22:06:33
